BlockSize,Bytes,Time(s),TransferRate(MB/s),TimeStamp
4K,4096,0.0003975,10.3,2017-11-01 14:12:26
64K,65536,0.00039844,164,2017-11-01 14:12:26
128K,131072,0.000450498,291,2017-11-01 14:12:26
512K,524288,0.000981551,534,2017-11-01 14:12:26
1M,1048576,0.00130175,806,2017-11-01 14:12:26
4M,4194304,0.00434927,964,2017-11-01 14:12:26
64M,67108864,0.0498616,1331.2,2017-11-01 14:12:26
128M,134217728,0.0826548,1638.4,2017-11-01 14:12:26
512M,536870912,0.502687,1126.4,2017-11-01 14:12:26
1G,1073741824,2.21354,485,2017-11-01 14:12:27
4K,4096,0.000351868,11.6,2017-11-01 14:12:32
64K,65536,0.000370548,177,2017-11-01 14:12:32
128K,131072,0.000491901,266,2017-11-01 14:12:32
512K,524288,0.000874967,599,2017-11-01 14:12:32
1M,1048576,0.00136396,769,2017-11-01 14:12:32
4M,4194304,0.00450196,932,2017-11-01 14:12:32
64M,67108864,0.0475482,1433.6,2017-11-01 14:12:32
128M,134217728,0.0886116,1536.0,2017-11-01 14:12:32
512M,536870912,0.958091,560,2017-11-01 14:12:33
1G,1073741824,2.21676,484,2017-11-01 14:12:34
4K,4096,0.000322779,12.7,2017-11-01 14:12:39
64K,65536,0.000378344,173,2017-11-01 14:12:39
128K,131072,0.000484397,271,2017-11-01 14:12:39
512K,524288,0.000899135,583,2017-11-01 14:12:39
1M,1048576,0.00141666,740,2017-11-01 14:12:39
4M,4194304,0.0041139,1024.0,2017-11-01 14:12:39
64M,67108864,0.0464836,1433.6,2017-11-01 14:12:39
128M,134217728,0.091344,1536.0,2017-11-01 14:12:39
512M,536870912,0.968441,554,2017-11-01 14:12:40
1G,1073741824,2.21817,484,2017-11-01 14:12:41
4K,4096,0.000346384,11.8,2017-11-01 14:12:46
64K,65536,0.000402052,163,2017-11-01 14:12:46
128K,131072,0.000456667,287,2017-11-01 14:12:46
512K,524288,0.000970885,540,2017-11-01 14:12:46
1M,1048576,0.00140336,747,2017-11-01 14:12:46
4M,4194304,0.0048717,861,2017-11-01 14:12:46
64M,67108864,0.0495169,1433.6,2017-11-01 14:12:46
128M,134217728,0.0962304,1433.6,2017-11-01 14:12:46
512M,536870912,0.95398,563,2017-11-01 14:12:46
1G,1073741824,2.21043,486,2017-11-01 14:12:48
4K,4096,0.000337073,12.2,2017-11-01 14:12:53
64K,65536,0.000336241,195,2017-11-01 14:12:53
128K,131072,0.000400157,328,2017-11-01 14:12:53
512K,524288,0.00067477,777,2017-11-01 14:12:53
1M,1048576,0.00115314,909,2017-11-01 14:12:53
4M,4194304,0.00376855,1126.4,2017-11-01 14:12:53
64M,67108864,0.0436254,1536.0,2017-11-01 14:12:53
128M,134217728,0.0911694,1536.0,2017-11-01 14:12:53
512M,536870912,0.964577,557,2017-11-01 14:12:53
1G,1073741824,2.20555,487,2017-11-01 14:12:55
4K,4096,0.000394501,10.4,2017-11-01 14:12:59
64K,65536,0.00045934,143,2017-11-01 14:13:00
128K,131072,0.000455237,288,2017-11-01 14:13:00
512K,524288,0.000894515,586,2017-11-01 14:13:00
1M,1048576,0.00157934,664,2017-11-01 14:13:00
4M,4194304,0.00448314,936,2017-11-01 14:13:00
64M,67108864,0.0510628,1331.2,2017-11-01 14:13:00
128M,134217728,0.0982769,1433.6,2017-11-01 14:13:00
512M,536870912,0.961506,558,2017-11-01 14:13:00
1G,1073741824,2.2173,484,2017-11-01 14:13:02
4K,4096,0.000311146,13.2,2017-11-01 14:13:06
64K,65536,0.000384403,170,2017-11-01 14:13:06
128K,131072,0.00046486,282,2017-11-01 14:13:06
512K,524288,0.00080623,650,2017-11-01 14:13:06
1M,1048576,0.00122295,857,2017-11-01 14:13:06
4M,4194304,0.00395757,1126.4,2017-11-01 14:13:06
64M,67108864,0.0464198,1433.6,2017-11-01 14:13:06
128M,134217728,0.0928311,1433.6,2017-11-01 14:13:06
512M,536870912,0.986591,544,2017-11-01 14:13:07
1G,1073741824,2.22388,483,2017-11-01 14:13:08
4K,4096,0.000227555,18.0,2017-11-01 14:13:13
64K,65536,0.00026369,249,2017-11-01 14:13:13
128K,131072,0.000512277,256,2017-11-01 14:13:13
512K,524288,0.000895594,585,2017-11-01 14:13:13
1M,1048576,0.00155896,673,2017-11-01 14:13:13
4M,4194304,0.00418917,1024.0,2017-11-01 14:13:13
64M,67108864,0.0473167,1433.6,2017-11-01 14:13:13
128M,134217728,0.0895408,1536.0,2017-11-01 14:13:13
512M,536870912,0.949375,565,2017-11-01 14:13:14
1G,1073741824,2.22318,483,2017-11-01 14:13:15
4K,4096,0.000327858,12.5,2017-11-01 14:13:20
64K,65536,0.00035782,183,2017-11-01 14:13:20
128K,131072,0.000482442,272,2017-11-01 14:13:20
512K,524288,0.000929057,564,2017-11-01 14:13:20
1M,1048576,0.00140743,745,2017-11-01 14:13:20
4M,4194304,0.00486784,862,2017-11-01 14:13:20
64M,67108864,0.0489524,1433.6,2017-11-01 14:13:20
128M,134217728,0.0914676,1536.0,2017-11-01 14:13:20
512M,536870912,0.968331,554,2017-11-01 14:13:21
1G,1073741824,2.25806,476,2017-11-01 14:13:22
4K,4096,0.000349303,11.7,2017-11-01 14:13:27
64K,65536,0.000351948,186,2017-11-01 14:13:27
128K,131072,0.000432886,303,2017-11-01 14:13:27
512K,524288,0.00093106,563,2017-11-01 14:13:27
1M,1048576,0.00147905,709,2017-11-01 14:13:27
4M,4194304,0.00447564,937,2017-11-01 14:13:27
64M,67108864,0.0486926,1433.6,2017-11-01 14:13:27
128M,134217728,0.0906468,1536.0,2017-11-01 14:13:27
512M,536870912,0.954927,562,2017-11-01 14:13:28
